Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	457	
1	1	2	475	485	
1	2	1	444	483	
1	2	2	459	475	
1	3	1	500	475	
1	3	2	496	475	
1	4	1	476	475	
1	4	2	459	475	
1	5	1	491	475	
1	5	2	475	475	
2	1	1	475	475	
2	1	2	475	469	
2	2	1	475	481	
2	2	2	475	451	
2	3	1	475	442	
2	3	2	464	481	
2	4	1	486	488	
2	4	2	475	513	
2	5	1	475	463	
2	5	2	447	487	
3	1	1	429	474	
3	1	2	485	476	
3	2	1	527	461	
3	2	2	476	489	
3	3	1	486	475	
3	3	2	474	444	
3	4	1	465	489	
3	4	2	461	470	
3	5	1	500	484	
3	5	2	460	488	
4	1	1	490	421	
4	1	2	455	473	
4	2	1	490	507	
4	2	2	480	485	
4	3	1	475	489	
4	3	2	475	475	
4	4	1	475	475	
4	4	2	470	475	
4	5	1	465	475	
4	5	2	490	475	
5	1	1	475	464	
5	1	2	470	486	
5	2	1	464	445	
5	2	2	472	503	
5	3	1	494	477	
5	3	2	475	475	
5	4	1	475	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	475	468	
6	1	1	475	464	
6	1	2	475	493	
6	2	1	439	466	
6	2	2	456	484	
6	3	1	479	446	
6	3	2	440	460	
6	4	1	502	468	
6	4	2	516	514	
6	5	1	489	487	
6	5	2	479	475	
7	1	1	475	475	
7	1	2	475	475	
7	2	1	475	475	
7	2	2	475	475	
7	3	1	475	475	
7	3	2	475	452	
7	4	1	475	493	
7	4	2	475	480	
7	5	1	475	473	
7	5	2	475	477	
8	1	1	475	475	
8	1	2	475	475	
8	2	1	473	472	
8	2	2	477	478	
8	3	1	452	475	
8	3	2	478	472	
8	4	1	482	478	
8	4	2	488	475	
8	5	1	475	475	
8	5	2	475	473	
