Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	450	
1	2	1	475	488	
1	2	2	475	478	
1	3	1	475	484	
1	3	2	475	475	
1	4	1	475	472	
1	4	2	475	478	
1	5	1	475	475	
1	5	2	475	424	
2	1	1	475	493	
2	1	2	463	493	
2	2	1	424	441	
2	2	2	450	513	
2	3	1	490	486	
2	3	2	458	475	
2	4	1	484	475	
2	4	2	465	468	
2	5	1	499	482	
2	5	2	496	475	
3	1	1	467	475	
3	1	2	508	475	
3	2	1	496	475	
3	2	2	475	475	
3	3	1	475	474	
3	3	2	475	476	
3	4	1	464	475	
3	4	2	486	475	
3	5	1	475	475	
3	5	2	475	475	
4	1	1	475	475	
4	1	2	460	475	
4	2	1	487	471	
4	2	2	478	479	
4	3	1	475	471	
4	3	2	475	440	
4	4	1	475	514	
4	4	2	475	475	
4	5	1	475	475	
4	5	2	460	475	
5	1	1	485	475	
5	1	2	480	475	
5	2	1	475	475	
5	2	2	475	475	
5	3	1	475	475	
5	3	2	453	475	
5	4	1	457	475	
5	4	2	515	462	
5	5	1	471	482	
5	5	2	479	481	
6	1	1	475	455	
6	1	2	475	458	
6	2	1	475	468	
6	2	2	475	519	
6	3	1	475	439	
6	3	2	475	495	
6	4	1	472	467	
6	4	2	472	499	
6	5	1	481	475	
6	5	2	464	475	
7	1	1	486	475	
7	1	2	475	475	
7	2	1	475	475	
7	2	2	475	457	
7	3	1	471	487	
7	3	2	479	481	
7	4	1	471	448	
7	4	2	479	465	
7	5	1	475	482	
7	5	2	469	476	
8	1	1	481	494	
8	1	2	465	485	
8	2	1	485	475	
8	2	2	459	475	
8	3	1	491	438	
8	3	2	475	492	
8	4	1	475	494	
8	4	2	475	476	
8	5	1	475	475	
8	5	2	475	471	
