Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	446	475	
1	2	2	445	475	
1	3	1	488	475	
1	3	2	476	473	
1	4	1	463	477	
1	4	2	475	475	
1	5	1	490	475	
1	5	2	498	475	
2	1	1	486	469	
2	1	2	483	464	
2	2	1	475	472	
2	2	2	462	468	
2	3	1	478	483	
2	3	2	459	492	
2	4	1	481	477	
2	4	2	480	475	
2	5	1	469	475	
2	5	2	444	475	
3	1	1	507	474	
3	1	2	495	476	
3	2	1	475	412	
3	2	2	462	522	
3	3	1	488	491	
3	3	2	475	475	
3	4	1	475	475	
3	4	2	475	475	
3	5	1	475	475	
3	5	2	449	458	
4	1	1	474	478	
4	1	2	502	489	
4	2	1	453	475	
4	2	2	497	475	
4	3	1	475	475	
4	3	2	475	475	
4	4	1	475	475	
4	4	2	475	475	
4	5	1	475	472	
4	5	2	475	478	
5	1	1	475	475	
5	1	2	475	466	
5	2	1	475	464	
5	2	2	462	495	
5	3	1	488	474	
5	3	2	475	475	
5	4	1	475	476	
5	4	2	460	475	
5	5	1	452	475	
5	5	2	494	474	
6	1	1	464	476	
6	1	2	474	475	
6	2	1	481	475	
6	2	2	435	475	
6	3	1	508	475	
6	3	2	507	475	
6	4	1	475	475	
6	4	2	475	467	
6	5	1	475	483	
6	5	2	446	444	
7	1	1	504	485	
7	1	2	475	485	
7	2	1	458	486	
7	2	2	492	472	
7	3	1	475	478	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	464	469	
7	5	1	484	466	
7	5	2	477	467	
8	1	1	475	446	
8	1	2	475	488	
8	2	1	475	465	
8	2	2	475	456	
8	3	1	475	481	
8	3	2	475	486	
8	4	1	475	495	
8	4	2	463	497	
8	5	1	487	481	
8	5	2	475	470	
