Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	475	
1	2	2	475	475	
1	3	1	460	475	
1	3	2	490	451	
1	4	1	475	499	
1	4	2	446	465	
1	5	1	477	480	
1	5	2	447	480	
2	1	1	481	475	
2	1	2	494	475	
2	2	1	482	475	
2	2	2	498	467	
2	3	1	475	462	
2	3	2	475	496	
2	4	1	475	475	
2	4	2	475	475	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	471	445	
3	1	2	461	477	
3	2	1	482	502	
3	2	2	486	476	
3	3	1	475	475	
3	3	2	475	475	
3	4	1	435	468	
3	4	2	515	482	
3	5	1	466	475	
3	5	2	484	475	
4	1	1	475	462	
4	1	2	471	488	
4	2	1	479	475	
4	2	2	475	475	
4	3	1	439	475	
4	3	2	477	475	
4	4	1	471	434	
4	4	2	462	488	
4	5	1	475	503	
4	5	2	464	441	
5	1	1	485	481	
5	1	2	473	488	
5	2	1	458	462	
5	2	2	522	503	
5	3	1	495	475	
5	3	2	479	475	
5	4	1	475	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	475	438	
6	1	1	475	485	
6	1	2	475	470	
6	2	1	475	474	
6	2	2	475	499	
6	3	1	475	484	
6	3	2	455	475	
6	4	1	490	475	
6	4	2	480	475	
6	5	1	475	475	
6	5	2	475	474	
7	1	1	475	476	
7	1	2	475	453	
7	2	1	475	488	
7	2	2	475	484	
7	3	1	475	456	
7	3	2	457	479	
7	4	1	493	490	
7	4	2	475	475	
7	5	1	475	475	
7	5	2	475	475	
8	1	1	475	462	
8	1	2	475	456	
8	2	1	469	481	
8	2	2	481	448	
8	3	1	449	493	
8	3	2	482	464	
8	4	1	494	508	
8	4	2	463	488	
8	5	1	487	475	
8	5	2	466	475	
