Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	434	462	
1	2	2	506	488	
1	3	1	451	475	
1	3	2	464	475	
1	4	1	491	475	
1	4	2	491	475	
1	5	1	452	475	
1	5	2	511	451	
2	1	1	475	468	
2	1	2	475	465	
2	2	1	475	475	
2	2	2	475	516	
2	3	1	473	454	
2	3	2	462	463	
2	4	1	478	508	
2	4	2	487	475	
2	5	1	473	475	
2	5	2	477	457	
3	1	1	466	481	
3	1	2	462	487	
3	2	1	481	475	
3	2	2	459	475	
3	3	1	503	475	
3	3	2	479	475	
3	4	1	475	475	
3	4	2	475	475	
3	5	1	475	475	
3	5	2	472	471	
4	1	1	478	479	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	475	475	
4	3	1	475	473	
4	3	2	475	477	
4	4	1	475	450	
4	4	2	475	500	
4	5	1	446	475	
4	5	2	467	475	
5	1	1	502	475	
5	1	2	485	459	
5	2	1	475	491	
5	2	2	475	475	
5	3	1	475	462	
5	3	2	471	481	
5	4	1	455	481	
5	4	2	442	476	
5	5	1	512	475	
5	5	2	485	475	
6	1	1	485	465	
6	1	2	475	485	
6	2	1	475	468	
6	2	2	475	482	
6	3	1	475	475	
6	3	2	475	475	
6	4	1	475	475	
6	4	2	475	475	
6	5	1	475	475	
6	5	2	466	475	
7	1	1	484	475	
7	1	2	475	475	
7	2	1	456	465	
7	2	2	494	473	
7	3	1	475	487	
7	3	2	475	445	
7	4	1	471	505	
7	4	2	479	460	
7	5	1	475	490	
7	5	2	416	475	
8	1	1	515	475	
8	1	2	494	475	
8	2	1	475	475	
8	2	2	458	475	
8	3	1	492	475	
8	3	2	475	465	
8	4	1	475	485	
8	4	2	475	475	
8	5	1	473	475	
8	5	2	477	475	
