Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	462	
1	2	1	475	488	
1	2	2	444	475	
1	3	1	506	474	
1	3	2	475	476	
1	4	1	475	475	
1	4	2	475	436	
1	5	1	475	482	
1	5	2	475	488	
2	1	1	475	484	
2	1	2	475	454	
2	2	1	475	457	
2	2	2	475	484	
2	3	1	475	513	
2	3	2	475	470	
2	4	1	430	482	
2	4	2	441	475	
2	5	1	458	475	
2	5	2	428	430	
3	1	1	491	489	
3	1	2	492	506	
3	2	1	476	475	
3	2	2	464	475	
3	3	1	498	475	
3	3	2	501	475	
3	4	1	522	468	
3	4	2	499	482	
3	5	1	475	475	
3	5	2	475	475	
4	1	1	475	469	
4	1	2	475	481	
4	2	1	475	420	
4	2	2	475	496	
4	3	1	475	462	
4	3	2	475	489	
4	4	1	471	498	
4	4	2	426	485	
4	5	1	481	475	
4	5	2	510	475	
5	1	1	461	475	
5	1	2	501	464	
5	2	1	460	486	
5	2	2	490	475	
5	3	1	475	475	
5	3	2	475	475	
5	4	1	453	475	
5	4	2	492	475	
5	5	1	480	460	
5	5	2	468	438	
6	1	1	482	489	
6	1	2	475	491	
6	2	1	452	492	
6	2	2	478	473	
6	3	1	466	482	
6	3	2	442	475	
6	4	1	495	475	
6	4	2	490	475	
6	5	1	455	446	
6	5	2	500	504	
7	1	1	497	475	
7	1	2	475	475	
7	2	1	465	471	
7	2	2	432	479	
7	3	1	501	475	
7	3	2	477	441	
7	4	1	493	509	
7	4	2	482	475	
7	5	1	475	475	
7	5	2	475	475	
8	1	1	467	475	
8	1	2	483	475	
8	2	1	445	475	
8	2	2	505	445	
8	3	1	475	486	
8	3	2	475	494	
8	4	1	475	475	
8	4	2	450	475	
8	5	1	464	475	
8	5	2	511	472	
