Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	471	475	
1	2	2	479	475	
1	3	1	475	475	
1	3	2	471	475	
1	4	1	472	475	
1	4	2	482	466	
1	5	1	475	472	
1	5	2	475	487	
2	1	1	475	475	
2	1	2	475	475	
2	2	1	451	475	
2	2	2	492	475	
2	3	1	462	475	
2	3	2	486	475	
2	4	1	484	475	
2	4	2	472	475	
2	5	1	478	475	
2	5	2	475	467	
3	1	1	473	478	
3	1	2	477	480	
3	2	1	475	475	
3	2	2	474	475	
3	3	1	457	475	
3	3	2	473	475	
3	4	1	477	475	
3	4	2	494	475	
3	5	1	470	475	
3	5	2	480	475	
4	1	1	475	475	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	475	475	
4	3	1	475	475	
4	3	2	389	475	
4	4	1	510	475	
4	4	2	444	475	
4	5	1	479	475	
4	5	2	471	475	
5	1	1	458	475	
5	1	2	498	475	
5	2	1	486	439	
5	2	2	510	454	
5	3	1	505	467	
5	3	2	475	514	
5	4	1	475	481	
5	4	2	471	495	
5	5	1	479	475	
5	5	2	475	475	
6	1	1	434	468	
6	1	2	455	474	
6	2	1	503	483	
6	2	2	498	475	
6	3	1	485	475	
6	3	2	475	475	
6	4	1	475	475	
6	4	2	455	475	
6	5	1	446	475	
6	5	2	510	474	
7	1	1	462	476	
7	1	2	502	475	
7	2	1	475	452	
7	2	2	475	485	
7	3	1	475	488	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	458	
7	5	1	475	488	
7	5	2	475	474	
8	1	1	475	443	
8	1	2	475	508	
8	2	1	451	455	
8	2	2	499	499	
8	3	1	475	475	
8	3	2	475	424	
8	4	1	454	461	
8	4	2	496	485	
8	5	1	469	529	
8	5	2	475	476	
