Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	471	475	
1	2	2	479	475	
1	3	1	475	475	
1	3	2	471	475	
1	4	1	473	475	
1	4	2	481	466	
1	5	1	475	472	
1	5	2	475	487	
2	1	1	475	475	
2	1	2	475	475	
2	2	1	451	474	
2	2	2	491	476	
2	3	1	464	475	
2	3	2	485	475	
2	4	1	484	475	
2	4	2	472	475	
2	5	1	478	475	
2	5	2	475	467	
3	1	1	473	478	
3	1	2	477	480	
3	2	1	475	475	
3	2	2	474	475	
3	3	1	457	475	
3	3	2	473	475	
3	4	1	477	475	
3	4	2	494	475	
3	5	1	470	475	
3	5	2	480	475	
4	1	1	475	475	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	475	475	
4	3	1	475	475	
4	3	2	389	475	
4	4	1	511	475	
4	4	2	443	475	
4	5	1	479	475	
4	5	2	472	475	
5	1	1	457	475	
5	1	2	499	475	
5	2	1	486	440	
5	2	2	510	454	
5	3	1	504	467	
5	3	2	475	513	
5	4	1	475	489	
5	4	2	472	487	
5	5	1	478	475	
5	5	2	475	475	
6	1	1	434	467	
6	1	2	456	475	
6	2	1	504	483	
6	2	2	496	475	
6	3	1	485	475	
6	3	2	475	475	
6	4	1	475	475	
6	4	2	454	475	
6	5	1	447	475	
6	5	2	508	474	
7	1	1	462	476	
7	1	2	504	475	
7	2	1	475	451	
7	2	2	475	485	
7	3	1	475	489	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	454	
7	5	1	475	488	
7	5	2	475	477	
8	1	1	475	426	
8	1	2	475	510	
8	2	1	450	455	
8	2	2	500	515	
8	3	1	475	475	
8	3	2	475	424	
8	4	1	454	461	
8	4	2	496	485	
8	5	1	469	530	
8	5	2	476	475	
