Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	428	
1	1	2	475	522	
1	2	1	475	475	
1	2	2	413	475	
1	3	1	469	452	
1	3	2	480	452	
1	4	1	489	465	
1	4	2	433	460	
1	5	1	489	470	
1	5	2	497	492	
2	1	1	468	505	
2	1	2	534	504	
2	2	1	478	475	
2	2	2	475	456	
2	3	1	433	494	
2	3	2	464	475	
2	4	1	528	471	
2	4	2	475	479	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	475	472	
3	1	2	468	478	
3	2	1	471	475	
3	2	2	486	475	
3	3	1	475	449	
3	3	2	475	454	
3	4	1	475	494	
3	4	2	464	497	
3	5	1	486	447	
3	5	2	466	500	
4	1	1	442	484	
4	1	2	485	475	
4	2	1	497	475	
4	2	2	485	462	
4	3	1	475	477	
4	3	2	475	486	
4	4	1	475	475	
4	4	2	475	475	
4	5	1	475	475	
4	5	2	475	475	
5	1	1	475	471	
5	1	2	475	479	
5	2	1	455	475	
5	2	2	495	475	
5	3	1	475	474	
5	3	2	457	476	
5	4	1	479	475	
5	4	2	489	464	
5	5	1	475	428	
5	5	2	475	469	
6	1	1	475	456	
6	1	2	475	478	
6	2	1	475	453	
6	2	2	475	490	
6	3	1	475	487	
6	3	2	473	463	
6	4	1	477	522	
6	4	2	475	495	
6	5	1	475	467	
6	5	2	475	477	
7	1	1	441	498	
7	1	2	509	478	
7	2	1	475	475	
7	2	2	475	475	
7	3	1	475	475	
7	3	2	475	475	
7	4	1	424	475	
7	4	2	526	457	
7	5	1	475	493	
7	5	2	475	475	
8	1	1	475	449	
8	1	2	450	501	
8	2	1	484	475	
8	2	2	485	475	
8	3	1	472	475	
8	3	2	475	475	
8	4	1	484	475	
8	4	2	475	440	
8	5	1	475	487	
8	5	2	475	498	
